nom,image,lien,ville,categorie,note,nombre_de_votes,prix,description
"Vol en Montgolfière au dessus du lac d'Annecy, à Doussard",https://www.babasport.fr/images/uploads/activity_attachment/path/23094/5.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/3089-vol-montgolfiere-lac-annecy,Annecy,Activité Aérienne,4.89,18,290 €,"
Nous vous accueillons dans nos grands ballons pour un survol d'une heure sur le Lac d'Annecy.Les montgolfières n'ayant pas de guidon, la direction du vol dépend de l'aérologie du jour.
Découvrez la passion de nos pilotes durant 45 minutes à 1h30 de balade aérienne en plus de la mise en place du ballon, la planification du plan de vol, le retour en 4x4, toast de l'aérostier et la remise de diplôme.
Profitez d'un moment de détente et de bonheur, à environ 2000/3000m du sol, durant lequel vous ne penserez plus à rien et n'aurez qu'à contempler d'un point de vue unique tout ce que cette région a à vous offrir. 
Vous vous sentirez libre et détendu et sentirez un sentiment de légèreté dans tout votre corps qui vous fera apprécier encore plus les différents paysages que vous rencontrerez. 
Une fois que vous serez arrivés, vous pourrez prendre avec le pilote un petit toast pour fêter votre expérience et vous serez ensuite pris en charge pour le retour pour vous ramener jusqu'au lieu de rendez-vous où chacun reprendra son chemin.
Merci de nous communiquer l'âge, le poids et le téléphone des passagers qui effectuent le vol.
"
Laser Game en extérieur à 10 min d'Arcachon,https://www.babasport.fr/images/uploads/activity_attachment/path/8183/20170808_175203.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/2020-laser-game-en-exterieur-a-10-min-d-arcachon-gironde,Arcachon,Activités urbaines,5.0,1,15 €,"
Tout le monde connait le concept des Laser Game indoor... mais avez vous déjà essayé une partie de Laser Game à l'extérieur ? 
Vous évoluerez comme au paintball, avec la même façon de jouer, mais sans les inconvénients liés à la peinture qui tâche ou aux billes qui font mal ! Les lasers sont ultra-réalistes et projettent un rayon infra-rouge. Un son réaliste vous signalera lorsque vous êtes touché.
Vous pourrez courir, sauter et vous cacher, le tout dans le but de faire gagner votre équipe. Le côté sportif prend alors tout son sens avec des courses poursuites délirantes sur ce terrain aménagé à moins de 30 minutes de Bordeaux. Au cours de vos parties de Laser Game en extérieur, nous vous ferons découvrir plusieurs scénarios possibles avec la multitude de programmes à disposition. Parfait pour jouer en famille, avec ses amis ou collègues !
"
Escape game à Arcachon en extérieur - 8 pers et +,https://www.babasport.fr/images/uploads/activity_attachment/path/11621/Arcachon1.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/1405-phenix-aeden-arcachon-jeu-de-piste-a-arcachon-la-merveille-d-iffla-enquete-cryptee,Arcachon,Activités urbaines,4.9,21,30 €,"
Arcachon est votre terrain de jeu ! Découverte scénarisée et ludique de la ville: coopération, réflexion, observation sont les mots clé de cette activité conviviale.Equipé(e)s d’une mallette remplie d'indices, arpentez les rues d'Arcachon en quête de l'objectif assigné au départ.Pour avancer, vous allez devoir reconstituer vous-même le parcours… Comment ? En déjouant les codes et en sachant utiliser les indices et objets à votre disposition !Une façon originale de découvrir Arcachon avec une belle balade, et peut-être, de vraies découvertes !Le plus : Chaque étape proposant des logiques différentes, la complémentarité des participant(e)s s’avère souvent payante pour progresser dans l’enquête. 
"
Course d'orientation cohésion d'équipes: entre pins et plage à Arcachon où à la Dune du Pilat,https://www.babasport.fr/images/uploads/activity_attachment/path/13577/course_d_orientation_1__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/3272-course-d-orientation-entre-pins-et-plage-arcachon-dune-du-pilat,Arcachon,Activités insolites,,,45 €,"
Sortie de groupe sportive et coopérative, cette course d’orientation a été imaginée par nos soins pour la rendre plus ludique... avec l’utilisation d’objets et d’énigmes ! Enrichie d’une fin coopérative, cette activité de team building atypique marie réflexion, organisation et cohésion d’équipes avec l’environnement exceptionnel d’Arcachon. Les équipes partent à la recherche des différentes balises en décryptant les indices à leur disposition grâce au matériel contenu dans des sacs à dos. Et doivent trouver le plus rapidement possible le lieu de rendez-vous final.
Après la compétition, la coopération :
La découverte d’un coffre bloqué les amènera à échanger avec les autres équipes. Car pour ouvrir, il faudra que tout le groupe mette en commun ses trouvailles ! Le prix à emporter est local et à partager. De quoi passer un bon moment entre collègues en pleine nature !
Activité originale pour une sortie d’entreprise :Pour un team building ludique en extérieur, pour compléter un séminaire d’entreprise avec une touche coopérative, pour aider à l’intégration de collaborateurs et collaboratrices tout en découvrant Arcachon…
Activité de groupe en extérieur, également disponible en mode « balade »
"
Rallye photo à Arcachon - City Game Digital,https://www.babasport.fr/images/uploads/activity_attachment/path/32363/D%C3%A9fi_trompe_l_oeil_4__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/6827-rallye-photo-arcachon-particuliers-team-building,Arcachon,Activités insolites,4.0,2,14 €,"
À la recherche d'une expérience photographique inoubliable ? Découvrez notre rallye photo qui allie de l'exploration, de la découverte et du fun, le tout avec vos smartphones !Vous explorerez une dizaine d'étapes en ville, passant par les plus beaux lieux d'intérêt. À chaque étape, relevez deux challenges : capturez une photo particulière de votre groupe et un défi lié à la culture et aux techniques photographiques. Chaque défi vous mènera vers un lieu emblématique, parfait pour immortaliser des moments inoubliables et époustouflants !

Sur une dizaine d'étapes en ville, vous devrez créer une photo avec vos téléphones, soyez le plus créatif possible !
Vous allez mettre votre culture photographique à l'épreuve avec une série de défis exigeants, incluant des hommages à des photos emblématiques et des techniques innovantes. 
On vous apprend à prendre les plus belles photos, même avec un simple smartphone. On vous donne les clés pour développer une nouvelle compétence qui stimule votre créativité !
Attendez vous à des surprises tout au long du parcours pour pimenter l'aventure !

Ce qui vous attend :

Des défis photos, quelques QCM et énigmes bonus ;
2 à 5 personnes par équipe en configuration recommandée ;
1h30 à 3h d'activité.

Activité possible à faire en Français et en Anglais.
"
Rallye gourmand à Arcachon - City game digital,https://www.babasport.fr/images/uploads/activity_attachment/path/33283/gourmand2__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/6950-rallye-gourmand-arcachon-particuliers-team-building,Arcachon,Activités insolites,4.0,2,21 €,"
Plongez dans l'univers délicieux de la cuisine en vous lançant dans des défis excitants directement depuis vos smartphones et ce, tout au long de votre parcours. Explorez les délices culinaires de la région tout en parcourant la ville ! Entre les arrêts dégustations et les défis ludiques et gourmands, vous allez devoir faire preuve d'esprit d'équipe tout au long de l'activité ! Chaque défi ajoutera une touche ludique à votre aventure gastronomique.Le principe est simple : 
- Vous serez en équipes composées de 2 à 5 personnes.- Chaque équipe évolue en autonomie et arpente les rues grâce à la géolocalisation. Vous vous rendez sur les points d'intérêt pour accéder aux différents défis.
Ce qui vous attend : 

1 à 2 Arrêts dégustations sur le parcours ;
Quiz et QCM ;
Blind test ;
Défis photos sur la gastronomie ;
Culture générale, anecdotes insolites, actualités gourmandes liées à la ville ;
Défis fun et créatifs !
Expérience gastronomique et compétitive : chaque équipe joue avec l’objectif de remporter le plus de points.

Laissez votre appétit vous guider dans ce rallye culinaire qui vous réserve de délicieuses surprises et des défis à relever. À vos fourchettes, prêts, partez !
"
City game digital à Arcachon - Jeu de piste et défis,https://www.babasport.fr/images/uploads/activity_attachment/path/33412/pexels-william-fortunato-6140644.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/6971-city-game-digital-arcachon-jeu-interactif-culturef-competitif,Arcachon,Activités insolites,4.0,2,14 €,"
Envie de vivre une expérience excitante en autonomie en explorant la ville ? Que ce soit à travers une balade culturelle ou en relevant des défis palpitants en compétition, découvrez une activité idéale pour des sorties entre amis ou en famille mais aussi pour des Team Building pour renforcer la cohésion d'équipe, stimuler la communication et mettre en avant votre marque employeur !
On vous propose 2 modes de jeu aussi divertissants les uns que les autres, à vous de choisir :

City game culturel et convivial : balade culturelle pour ceux qui cherchent à parcourir la ville tranquillement. Vous découvrirez le centre et visiterez les différents points d'intérêts intégrés à notre plateforme de jeu. Chaque point d'intérêt contiendra un descriptif culturel et historique et des défis en lien avec le lieu visité (patrimoine, culture générale, anecdotes insolites et actualité liée à la ville) ;
City game compétitif et challengeant : si vous êtes de grands compétiteurs, vous devez choisir cette option. Plus de 30 étapes et autant de challenges, une course contre la montre vous attend, comme le format culturel mais avec un fonctionnement plus compétitif et sportif. Vous aurez un temps limité pour vous rendre sur certaines balises, rencontrer des challenges pour les relever avec tactique et stratégie. L'objectif : réaliser le plus de défis possible en un minimum de temps ! (bonus, malus, questions funs et décalées). Préparez-vous à une bonne dose d'adrénaline !

Ce qu'il faut savoir :- Les défis qui vous attendent : QCM, questions ouvertes, blind-tests, défis photo...- 2 à 5 personnes par équipe.- L'activité se fait avec vos smartphones/tablettes sur demande pour les entreprises.- 1h30 à 3h d'activité. 
Activité possible à faire en Français et en Anglais.
"
Salle de quiz comme à la télé à Bayonne,https://www.babasport.fr/images/uploads/activity_attachment/path/24500/quiz-room-jeu-decor-de-plateau-tele-paris-6-1.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/5574-quiz-room-jeu-decor-de-plateau-tele-bayonne,Biarritz et Bayonne,Activités insolites,4.67,3,20 €,"
Le premier quiz immersif dans un décor de plateau télé réservé spécialement pour vous et vos amis ! Ne regardez plus questions pour un champion, jouez le !
Avec les 3 manches, les jokers et les questions signatures, tout le monde peut gagner jusqu'au dernier buzz.
Les questions sont toujours accessibles et surprenantes, et c'est vous qui choisissez les thématiques qui vous plaisent. En option : vous pouvez même personnaliser une partie des questions !
Une session de quiz comprend 2 parties de 30 à 40 minutes chacune. Idéal pour les anniversaires, EVJF, EVG, team building... Accessible à tous.
Activité possible en anglais.
"
Randonnée Jet ski à Ciboure - Saint Jean de Luz,https://www.babasport.fr/images/uploads/activity_attachment/path/21360/7.Jet_PARALAILE.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/809-randonnee-jet-ski-et-location-scooter-des-mers-a-st-jean-de-luz,Biarritz et Bayonne,Activité Nautique,4.83,18,95 €,"
Vous avez toujours voulu vous faire du Jet ski mais n'avez jamais osé ? C'est le moment de se lancer ! Débutant(e) ou Habitué(e), vous allez adorer cette activité nautique ! 
Sensations fortes, fous rires et un agréable moment à partager sont au programme de votre journée. Une activité parfaite pour si vous venez en famille ou entre amis ou pourquoi pas à insérer lors de vos enterrements de vie de jeune fille ou de garçon !! 
Les initiations jet-ski, ou location jet-ski sans permis se déroulent dans la baie de St-Jean-de-Luz - Socoa dans une zone délimitée. Les randonnées jet-ski (40 et 60 min) vous offriront une jolie promenade jusqu'à Hendaye en suivant les falaises de schiste unique en Aquitaine. Avec une vue incroyable sur la montagne de la Rhune, un des plus hauts sommets des Pyrénées. La randonnée jet-ski de 2 heures, un peu plus sportive, longe les communes de Guéthary et Bidart pour arriver à la grande plage de Biarritz et permet de découvrir un joli panorama sur le BAB : Biarritz, Anglet, Bayonne depuis la Côte Basque jusqu'à la côte Landaise.
Pilotage à partir de 16 ans et les passagers à partir de 8 ans.
"
Bubble foot à Bayonne,https://www.babasport.fr/images/uploads/activity_attachment/path/8426/Bubble_foot_-_64-_Bayonne.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/358-bubble-foot-a-bayonne,Biarritz et Bayonne,Activité Sportive,4.67,3,240 €,"
Vous êtes à la recherche d'une activité insolite pour un moment amusant et convivial à partager avec votre famille ou vos amis ? On vous propose de faire du bubble foot. Mais qu'est-ce que c'est ?
C'est un peu une alternative au foot mais en bien plus délirant. Équipé d'une bulle gonflable géante qui vous couvre le haut du corps sauf les jambes pour pouvoir plus facilement courir, lancez-vous dans une partie endiablée avec trois objectifs en tête : 

Rester debout.
Résister à l'adversaire.
Marquer le plus de buts possibles.

Ce sont des matchs de 4 contre 4, il faut donc être 8 minimum. Vous pouvez donc être plus, et jouer en mode tournoi.
L'activité peut se dérouler en intérieur comme en extérieur (sur des terrains de foot intérieurs ou extérieurs).
"
Flyboard à St Jean de luz ,https://www.babasport.fr/images/uploads/activity_attachment/path/21357/3.Flyboard_PARALAILE-2160.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/759-flyboard-a-st-jean-de-luz-64,Biarritz et Bayonne,Activité Nautique,5.0,7,90 €,"
Vous avez toujours rêvé de nager comme un dauphin, de voler... Essayez le Flyboard ! 
Le Flyboard se réalise à une trentaine de mètres de la plage.
Mettez vous dans la peau d’un super héros en vous équipant du flyboard , un engin qui permet de se propulser aussi bien dans les airs que sous l’eau. En initiation, la puissance du jet d’eau vous propulsant est réglée par le moniteur. Vous n’avez qu’à gérer votre équilibre, ce qui rend le flyboard à tous, même aux personnes pas très sportives et surtout sans danger.
Des sensations fortes assurées !!! 100% de réussite lors de la première expérience, vous ne le regretterez pas !
Sinon, on propose d'autres activités nautiques sur le même centre : 

Bouées tractées
Jet ski 

Des activités aussi fun que le Flyboard !! 
"
Rallye photo à Biarritz - City Game Digital,https://www.babasport.fr/images/uploads/activity_attachment/path/33009/D%C3%A9fi_cr%C3%A9activit%C3%A9_2.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/6918-rallye-photo-biarritz-particuliers-team-building,Biarritz et Bayonne,Activités insolites,4.0,2,14 €,"
À la recherche d'une expérience photographique inoubliable ? Découvrez notre rallye photo qui allie de l'exploration, de la découverte et du fun. Vous explorerez une dizaine d'étapes en ville, passant par les plus beaux lieux d'intérêt. À chaque étape, relevez deux challenges : capturez une photo particulière de votre groupe et un défi lié à la culture et aux techniques photographiques. Chaque défi vous mènera vers un lieu emblématique, parfait pour immortaliser des moments inoubliables et époustouflants !

Sur une dizaine d'étapes en ville, vous devrez créer une photo, soyez le plus créatif possible !
Vous allez mettre votre culture photographique à l'épreuve avec une série de défis exigeants, incluant des hommages à des photos emblématiques et des techniques innovantes. 
On vous apprend à prendre les plus belles photos, même avec un simple smartphone. On vous donne les clés pour développer une nouvelle compétence qui stimule votre créativité !
Attendez vous à des surprises tout au long du parcours pour pimenter l'aventure !

Ce qui vous attend :

Des défis photos, quelques QCM et énigmes bonus ;
2 à 5 personnes par équipe en configuration recommandée ;
1h30 à 3h d'activité.

Activité possible à faire en Français et en Anglais.
"
